datetime,/FS4/NAE00806603BECA/3000775/NAE00806603BECA/Field Bus1.BrowerAHU2.OA-T,/FS4/NAE00806603BECA/3000838/NAE00806603BECA/Field Bus1.BrowerAHU1.OA-T,/FS4/NAE00806603BECA/3000971/NAE00806603BECA/Field Bus1.BrowerMUA.OA-T,/FS4/NAE00806603BECA/3000436/NAE00806603BECA/Field Bus1.BrowerUnderfloor2nd.OAT
2021-12-01 00:00:00,51.365009307861328,52.278110504150391,53.868492126464844,52.278110504150391
2021-12-01 00:05:00,51.152568817138672,52.278110504150391,53.868492126464844,52.278110504150391
2021-12-01 00:10:00,51.152568817138672,52.278110504150391,53.868492126464844,52.278110504150391
2021-12-01 00:15:00,51.152568817138672,52.491024017333984,53.868492126464844,52.491024017333984
2021-12-01 00:20:00,51.152568817138672,52.491024017333984,53.868492126464844,52.491024017333984
2021-12-01 00:25:00,51.152568817138672,52.708667755126953,53.868492126464844,52.708667755126953
2021-12-01 00:30:00,51.152568817138672,52.490859985351562,53.662338256835938,52.490859985351562
2021-12-01 00:35:00,50.735572814941406,52.288127899169922,53.450813293457031,52.288127899169922
2021-12-01 00:40:00,50.735572814941406,52.288127899169922,53.450813293457031,52.288127899169922
2021-12-01 00:45:00,50.735572814941406,51.845455169677734,53.450813293457031,51.845455169677734
2021-12-01 00:50:00,50.735572814941406,52.085971832275391,53.703754425048828,52.085971832275391
2021-12-01 00:55:00,50.954860687255859,52.085971832275391,53.907398223876953,52.085971832275391
2021-12-01 01:00:00,51.155532836914062,52.286178588867188,53.907398223876953,52.286178588867188
2021-12-01 01:05:00,51.155532836914062,52.286178588867188,53.907398223876953,52.286178588867188
2021-12-01 01:10:00,51.155532836914062,52.286178588867188,53.907398223876953,52.286178588867188
2021-12-01 01:15:00,51.366874694824219,52.497749328613281,54.128108978271484,52.497749328613281
2021-12-01 01:20:00,51.820362091064453,52.963432312011719,54.591407775878906,52.963432312011719
2021-12-01 01:25:00,52.636497497558594,53.994144439697266,55.586044311523438,53.994144439697266
2021-12-01 01:30:00,53.291534423828125,54.712020874023438,56.409038543701172,54.712020874023438
2021-12-01 01:35:00,54.162361145019531,55.482162475585938,56.942569732666016,55.482162475585938
2021-12-01 01:40:00,55.094310760498047,56.473865509033203,57.847812652587891,56.473865509033203
2021-12-01 01:45:00,55.094310760498047,56.473865509033203,57.842292785644531,56.473865509033203
2021-12-01 01:50:00,55.858036041259766,57.304119110107422,58.359878540039062,57.304119110107422
2021-12-01 01:55:00,56.149761199951172,57.649219512939453,58.570026397705078,57.649219512939453
2021-12-01 02:00:00,57.465892791748047,59.566551208496094,60.381156921386719,59.566551208496094
2021-12-01 02:05:00,58.629764556884766,60.274818420410156,61.144569396972656,60.274818420410156
2021-12-01 02:10:00,58.629764556884766,60.076004028320312,61.144569396972656,60.076004028320312
2021-12-01 02:15:00,58.629764556884766,60.076004028320312,61.144569396972656,60.076004028320312
2021-12-01 02:20:00,59.088085174560547,60.521694183349609,61.835124969482422,60.521694183349609
2021-12-01 02:25:00,59.292686462402344,60.801853179931641,62.291389465332031,60.801853179931641
2021-12-01 02:30:00,60.120281219482422,61.965217590332031,64.023178100585938,61.965217590332031
2021-12-01 02:35:00,60.120281219482422,61.965217590332031,63.819084167480469,61.965217590332031
2021-12-01 02:40:00,60.667606353759766,61.965217590332031,64.332801818847656,61.965217590332031
2021-12-01 02:45:00,61.670177459716797,63.292079925537109,65.27880859375,63.292079925537109
2021-12-01 02:50:00,62.578758239746094,64.235816955566406,65.723358154296875,64.235816955566406
2021-12-01 02:55:00,62.578758239746094,64.235816955566406,65.923309326171875,64.235816955566406
2021-12-01 03:00:00,62.367580413818359,63.942859649658203,65.721054077148438,63.942859649658203
2021-12-01 03:05:00,61.378192901611328,62.650356292724609,64.527458190917969,62.650356292724609
2021-12-01 03:10:00,60.581100463867188,61.895442962646484,63.590415954589844,61.895442962646484
2021-12-01 03:15:00,59.125507354736328,60.636253356933594,62.460121154785156,60.636253356933594
2021-12-01 03:20:00,58.689163208007812,60.392734527587891,61.96533203125,60.392734527587891
2021-12-01 03:25:00,58.273674011230469,59.946746826171875,61.761932373046875,59.946746826171875
2021-12-01 03:30:00,57.794952392578125,59.462581634521484,61.125164031982422,59.462581634521484
2021-12-01 03:35:00,56.799663543701172,58.287670135498047,60.04931640625,58.287670135498047
2021-12-01 03:40:00,56.379535675048828,57.837261199951172,59.593074798583984,57.837261199951172
2021-12-01 03:45:00,56.172691345214844,57.355148315429688,59.334091186523438,57.355148315429688
2021-12-01 03:50:00,55.917499542236328,56.917133331298828,59.096126556396484,56.917133331298828
2021-12-01 03:55:00,55.707740783691406,56.917133331298828,58.897655487060547,56.917133331298828
2021-12-01 04:00:00,56.419540405273438,57.658084869384766,59.569210052490234,57.658084869384766
2021-12-01 04:05:00,56.419540405273438,57.881443023681641,59.569210052490234,57.881443023681641
2021-12-01 04:10:00,56.419540405273438,57.881443023681641,59.569210052490234,57.881443023681641
2021-12-01 04:15:00,55.974334716796875,57.459011077880859,59.152767181396484,57.459011077880859
2021-12-01 04:20:00,55.524852752685547,56.776836395263672,58.727291107177734,56.776836395263672
2021-12-01 04:25:00,55.524852752685547,56.776836395263672,58.727291107177734,56.776836395263672
2021-12-01 04:30:00,55.524852752685547,57.000331878662109,58.727291107177734,57.000331878662109
2021-12-01 04:35:00,55.524852752685547,57.000331878662109,58.515411376953125,57.000331878662109
2021-12-01 04:40:00,55.524852752685547,57.000331878662109,58.515411376953125,57.000331878662109
