Timestamp,Field Bus1.Plant_Boilers.HWS-T,Field Bus1.Plant_Boilers.HWR-T,Field Bus1.Plant_Boilers.HWS-TEffSetpnt
2022-03-01 02:34:03-08:00,124.45671844482422,125.10161590576172,
2022-03-01 02:34:04-08:00,,,130.0
2022-03-01 02:37:03-08:00,124.02449035644531,124.88947296142578,
2022-03-01 02:37:04-08:00,,,130.0
2022-03-01 02:40:03-08:00,123.81965637207031,124.46533203125,
2022-03-01 02:40:04-08:00,,,130.0
2022-03-01 02:43:03-08:00,123.39413452148438,124.26109313964844,
2022-03-01 02:43:04-08:00,,,130.0
2022-03-01 02:46:03-08:00,123.14383697509766,123.85016632080078,
2022-03-01 02:46:04-08:00,,,130.0
2022-03-01 02:49:03-08:00,122.72653198242188,123.6424789428711,
2022-03-01 02:49:05-08:00,,,130.0
2022-03-01 02:52:03-08:00,122.48121643066406,123.1925048828125,130.0
2022-03-01 02:55:03-08:00,122.2328872680664,122.99346160888672,
2022-03-01 02:55:05-08:00,,,130.0
2022-03-01 02:58:02-08:00,122.03218841552734,122.790771484375,
2022-03-01 02:58:03-08:00,,,130.0
2022-03-01 03:01:03-08:00,121.55059814453125,122.29326629638672,
2022-03-01 03:01:04-08:00,,,130.0
2022-03-01 03:04:02-08:00,121.35171508789062,122.05667114257812,
2022-03-01 03:04:03-08:00,,,130.0
2022-03-01 03:07:03-08:00,121.11042785644531,121.81388854980469,
2022-03-01 03:07:05-08:00,,,130.0
2022-03-01 03:10:01-08:00,126.51028442382812,112.06187438964844,
2022-03-01 03:10:02-08:00,,,130.0
2022-03-01 03:13:03-08:00,131.93585205078125,108.00914764404297,
2022-03-01 03:13:05-08:00,,,130.0
2022-03-01 03:16:01-08:00,133.81602478027344,114.66630554199219,
2022-03-01 03:16:02-08:00,,,130.0
2022-03-01 03:19:03-08:00,136.31361389160156,116.69774627685547,
2022-03-01 03:19:05-08:00,,,126.4000015258789
2022-03-01 03:22:02-08:00,139.45260620117188,119.055908203125,
2022-03-01 03:22:03-08:00,,,126.4000015258789
2022-03-01 03:25:03-08:00,138.1829833984375,120.19475555419922,
2022-03-01 03:25:04-08:00,,,122.80000305175781
